------------------------------
Entry: 179, Minute: 3, Seconds: 3, Temp: 17.10
Entry: 180, Minute: 3, Seconds: 4, Temp: 17.10
Entry: 181, Minute: 3, Seconds: 5, Temp: 17.10
Entry: 182, Minute: 3, Seconds: 6, Temp: 17.10
Entry: 183, Minute: 3, Seconds: 7, Temp: 17.10
Entry: 184, Minute: 3, Seconds: 8, Temp: 17.10
Entry: 185, Minute: 3, Seconds: 9, Temp: 17.10
Entry: 186, Minute: 3, Seconds: 10, Temp: 17.10
Entry: 187, Minute: 3, Seconds: 11, Temp: 17.10
Entry: 188, Minute: 3, Seconds: 12, Temp: 17.10
Entry: 189, Minute: 3, Seconds: 13, Temp: 17.10
Entry: 190, Minute: 3, Seconds: 14, Temp: 17.10
Entry: 191, Minute: 3, Seconds: 15, Temp: 17.10
Entry: 192, Minute: 3, Seconds: 16, Temp: 17.10
Entry: 193, Minute: 3, Seconds: 17, Temp: 17.10
Entry: 194, Minute: 3, Seconds: 18, Temp: 17.10
Entry: 195, Minute: 3, Seconds: 19, Temp: 17.10
Entry: 196, Minute: 3, Seconds: 20, Temp: 17.10
Entry: 197, Minute: 3, Seconds: 21, Temp: 17.10
Entry: 198, Minute: 3, Seconds: 23, Temp: 17.10
Entry: 199, Minute: 3, Seconds: 24, Temp: 17.10
Entry: 200, Minute: 3, Seconds: 25, Temp: 17.10
Entry: 201, Minute: 3, Seconds: 26, Temp: 17.10
Entry: 202, Minute: 3, Seconds: 27, Temp: 17.10
Entry: 203, Minute: 3, Seconds: 28, Temp: 17.10
Entry: 204, Minute: 3, Seconds: 29, Temp: 17.10
Entry: 205, Minute: 3, Seconds: 30, Temp: 17.10
Entry: 206, Minute: 3, Seconds: 31, Temp: 17.10
Entry: 207, Minute: 3, Seconds: 32, Temp: 17.10
Entry: 208, Minute: 3, Seconds: 33, Temp: 17.20
Entry: 209, Minute: 3, Seconds: 34, Temp: 17.10
Entry: 210, Minute: 3, Seconds: 35, Temp: 17.10
Entry: 211, Minute: 3, Seconds: 36, Temp: 17.10
Entry: 212, Minute: 3, Seconds: 37, Temp: 17.10
Entry: 213, Minute: 3, Seconds: 38, Temp: 17.10
Entry: 214, Minute: 3, Seconds: 39, Temp: 17.10
Entry: 215, Minute: 3, Seconds: 40, Temp: 17.10
Entry: 216, Minute: 3, Seconds: 41, Temp: 17.10
Entry: 217, Minute: 3, Seconds: 42, Temp: 17.10
Entry: 218, Minute: 3, Seconds: 43, Temp: 17.10
Entry: 219, Minute: 3, Seconds: 44, Temp: 17.10
Entry: 220, Minute: 3, Seconds: 45, Temp: 17.10
Entry: 221, Minute: 3, Seconds: 46, Temp: 17.10
Entry: 222, Minute: 3, Seconds: 47, Temp: 17.10
