Started 12:00 AM 3/29/2015


------------------------------
Entry: 102, Minute: 1, Seconds: 44, Temp: 16.40
Entry: 103, Minute: 1, Seconds: 45, Temp: 16.40
Entry: 104, Minute: 1, Seconds: 46, Temp: 16.40
Entry: 105, Minute: 1, Seconds: 47, Temp: 16.40
Entry: 106, Minute: 1, Seconds: 48, Temp: 16.40
Entry: 107, Minute: 1, Seconds: 49, Temp: 16.40
Entry: 108, Minute: 1, Seconds: 50, Temp: 16.40
Entry: 109, Minute: 1, Seconds: 51, Temp: 16.50
Entry: 110, Minute: 1, Seconds: 52, Temp: 16.40
Entry: 111, Minute: 1, Seconds: 53, Temp: 16.40
Entry: 112, Minute: 1, Seconds: 54, Temp: 16.50
Entry: 113, Minute: 1, Seconds: 55, Temp: 16.40
Entry: 114, Minute: 1, Seconds: 56, Temp: 16.40
Entry: 115, Minute: 1, Seconds: 57, Temp: 16.50
Entry: 116, Minute: 1, Seconds: 58, Temp: 16.40
Entry: 117, Minute: 1, Seconds: 59, Temp: 16.40
Entry: 118, Minute: 2, Seconds: 0, Temp: 16.40
Entry: 119, Minute: 2, Seconds: 1, Temp: 16.40
Entry: 120, Minute: 2, Seconds: 2, Temp: 16.40
Entry: 121, Minute: 2, Seconds: 3, Temp: 16.50
Entry: 122, Minute: 2, Seconds: 4, Temp: 16.40
Entry: 123, Minute: 2, Seconds: 5, Temp: 16.50
Entry: 124, Minute: 2, Seconds: 6, Temp: 16.50
Entry: 125, Minute: 2, Seconds: 8, Temp: 16.40
Entry: 126, Minute: 2, Seconds: 9, Temp: 16.50
Entry: 127, Minute: 2, Seconds: 10, Temp: 16.40
Entry: 128, Minute: 2, Seconds: 11, Temp: 16.50
Entry: 129, Minute: 2, Seconds: 12, Temp: 16.40
Entry: 130, Minute: 2, Seconds: 13, Temp: 16.40
Entry: 131, Minute: 2, Seconds: 14, Temp: 16.40
Entry: 132, Minute: 2, Seconds: 15, Temp: 16.40
Entry: 133, Minute: 2, Seconds: 16, Temp: 16.50
Entry: 134, Minute: 2, Seconds: 17, Temp: 16.50
Entry: 135, Minute: 2, Seconds: 18, Temp: 16.50
